age,income,savings_rate,debt_ratio,purchase_power,purchasing_power
79,118612.24,0.24,0.75,217201090.43,20.82
62,116174.21,0.42,0.79,260526498.4,80.13
55,159352.43,0.37,0.81,269971507.63,93.07
46,120814.22,0.44,0.68,274936426.98,99.86
57,108035.86,0.59,0.6,267779329.91,90.06
79,111224.6,0.48,0.7,217179499.53,20.79
54,125982.28,0.24,0.54,270977269.31,94.44
59,137167.82,0.43,0.51,265208009.88,86.54
49,102169.03,0.41,0.68,274190131.22,98.84
50,112662.46,0.33,0.5,273769307.46,98.26
60,108965.12,0.38,0.49,263763531.44,84.57
72,112520.22,0.41,0.31,238581599.39,50.09
79,120573.63,0.45,0.71,217180636.71,20.79
62,92428.49,0.51,0.54,260545445.39,80.16
43,75132.87,0.28,0.76,274797096.63,99.67
55,113852.73,0.63,0.63,269970545.16,93.06
44,84188.21,0.41,0.64,274946067.17,99.88
63,126691.56,0.47,0.68,258780739.95,77.74
69,102702.13,0.54,0.75,246169963.08,60.48
77,121329.05,0.3,0.56,223817476.59,29.88
41,118142.25,0.41,0.9,274163929.95,98.8
63,111844.64,0.32,0.9,258775198.67,77.74
75,128009.34,0.38,0.84,229971932.39,38.3
52,96008.0,0.6,0.85,272506499.98,96.54
63,97443.36,0.46,0.57,258797064.53,77.77
66,129683.54,0.25,0.66,252962086.53,69.78
61,96669.75,0.42,0.82,262176431.78,82.39
67,145591.31,0.35,0.73,250788514.52,66.8
55,107467.71,0.25,0.84,269991051.38,93.09
51,128498.12,0.53,0.79,273158874.96,97.43
44,85344.62,0.28,0.92,274932942.74,99.86
77,142302.98,0.51,0.53,223793922.99,29.85
40,133022.54,0.31,0.82,273732711.7,98.21
55,104843.79,0.44,0.79,269975062.51,93.07
43,112460.2,0.48,0.75,274774139.94,99.64
79,114591.75,0.47,0.6,217190861.67,20.81
51,133730.55,0.49,0.83,273156029.03,97.43
40,71769.64,0.49,0.82,273727714.01,98.21
67,87305.77,0.28,0.5,250818778.6,66.84
51,110623.84,0.36,0.73,273190326.01,97.47
50,131741.96,0.53,0.55,273738864.03,98.22
65,114905.16,0.48,0.88,254958230.98,72.51
42,97471.05,0.42,0.66,274542120.88,99.32
61,108676.6,0.34,0.49,262217899.23,82.45
67,85923.94,0.63,0.61,250779311.9,66.79
44,90113.11,0.35,0.71,274943923.02,99.87
45,115855.24,0.45,0.42,275015255.61,99.97
