age,income,savings_rate,debt_ratio,purchase_power,purchasing_power
57,52651.67,0.07,0.42,21029.01,22.28
47,57833.38,0.22,0.43,23525.62,24.03
33,91580.17,0.22,0.52,27732.16,26.97
26,42537.86,0.22,0.39,14752.88,17.89
39,50845.7,0.29,0.33,24869.56,24.96
57,54034.24,0.26,0.42,11625.16,15.71
37,47031.73,0.06,0.25,37548.1,33.83
41,67958.6,0.17,0.19,48749.71,41.66
29,47802.72,0.15,0.41,21757.53,22.79
29,46151.74,0.13,0.22,30782.15,29.1
42,54526.13,0.16,0.14,43388.79,37.91
54,58108.98,0.15,0.1,41722.71,36.75
58,57670.08,0.16,0.4,17882.3,20.08
42,55387.85,0.29,0.28,28712.71,27.65
21,35831.88,0.07,0.48,7593.02,12.89
40,60600.18,0.28,0.29,31604.19,29.67
20,36342.18,0.17,0.34,7489.02,12.81
42,62920.59,0.21,0.3,36283.71,32.94
48,53598.42,0.26,0.43,19886.36,21.48
56,78276.69,0.14,0.28,40883.06,36.16
20,40554.46,0.16,0.58,265.88,7.76
39,54553.96,0.15,0.57,20512.51,21.92
51,67199.0,0.14,0.52,23119.57,23.74
30,53104.98,0.28,0.56,10043.86,14.6
40,43975.95,0.26,0.32,23888.06,24.28
43,68352.47,0.08,0.37,43201.01,37.78
45,50481.67,0.08,0.47,27287.46,26.66
46,81082.93,0.16,0.45,36171.11,32.87
34,54675.37,0.07,0.55,24907.25,24.99
33,71998.44,0.2,0.46,27733.4,26.97
21,32565.1,0.09,0.6,1696.05,8.76
55,60075.64,0.18,0.27,29407.78,28.14
25,73184.51,0.05,0.52,28352.36,27.4
39,57536.32,0.13,0.45,29574.69,28.25
27,42589.66,0.22,0.45,13124.68,16.75
57,69241.87,0.17,0.26,33266.41,30.84
36,71224.19,0.29,0.49,19901.16,21.49
22,35285.68,0.27,0.55,-684.32,7.1
43,43244.0,0.14,0.21,33307.49,30.86
32,48261.51,0.06,0.41,28174.21,27.28
27,62880.36,0.26,0.3,26610.11,26.18
44,52848.74,0.28,0.59,11705.35,15.76
20,38858.83,0.26,0.34,5413.84,11.36
38,52289.84,0.08,0.21,42020.33,36.96
46,43666.2,0.3,0.29,21940.21,22.92
25,38751.24,0.11,0.43,14463.17,17.69
26,61382.91,0.23,0.14,36421.42,33.04
53,38966.33,0.28,0.4,11406.09,15.55
32,60495.74,0.11,0.57,22665.17,23.42
35,45202.98,0.28,0.53,13462.82,16.99
54,70652.15,0.13,0.13,49690.81,42.32
58,69577.18,0.29,0.6,349.59,7.82
22,40138.29,0.12,0.45,9992.02,14.56
20,36521.97,0.29,0.18,9183.55,14.0
24,35801.34,0.06,0.11,25074.35,25.11
22,27593.81,0.23,0.19,8903.91,13.8
47,103815.95,0.18,0.52,34550.52,31.73
36,48888.14,0.17,0.11,40217.64,35.69
44,99389.83,0.11,0.22,72041.72,57.94
52,50160.06,0.23,0.48,14682.67,17.84
28,61044.89,0.1,0.39,31059.51,29.29
54,46340.79,0.19,0.49,12714.04,16.47
32,65569.64,0.11,0.47,30230.47,28.71
49,57545.65,0.29,0.13,35948.0,32.71
33,52852.51,0.06,0.55,24670.42,24.83
26,60043.55,0.1,0.21,38918.16,34.79
32,49918.21,0.11,0.38,28572.67,27.55
41,46455.22,0.15,0.42,25101.02,25.13
58,70623.51,0.11,0.18,42660.64,37.4
39,47980.63,0.17,0.59,16711.61,19.26
34,67256.57,0.27,0.34,29918.37,28.49
36,78999.25,0.23,0.13,55809.41,46.6
42,57166.75,0.19,0.57,18627.71,20.6
44,87567.7,0.07,0.39,51703.9,43.73
43,71016.79,0.22,0.45,28193.91,27.29
59,46281.68,0.09,0.36,16454.18,19.08
47,93892.6,0.25,0.52,25805.86,25.62
33,43912.77,0.11,0.12,37434.05,33.75
19,31801.52,0.15,0.23,7582.78,12.88
43,59609.86,0.14,0.33,36719.06,33.25
25,58461.19,0.26,0.14,31508.2,29.61
27,73461.55,0.08,0.45,33180.97,30.78
42,83774.68,0.19,0.3,48074.55,41.19
19,40733.94,0.09,0.24,15630.83,18.51
26,45033.42,0.23,0.1,28032.98,27.18
42,44001.21,0.28,0.46,16939.18,19.42
29,38218.35,0.16,0.52,13027.41,16.69
35,102677.89,0.17,0.3,58938.02,48.78
26,30561.01,0.28,0.38,8215.43,13.32
53,50355.78,0.18,0.21,29307.28,28.07
53,84133.42,0.17,0.41,33694.99,31.13
51,64816.76,0.19,0.11,45851.06,39.63
23,62569.6,0.22,0.34,21491.99,22.6
57,66910.43,0.08,0.42,27833.77,27.04
59,88746.76,0.26,0.56,7716.5,12.97
46,67644.58,0.16,0.29,41405.14,36.53
25,59692.4,0.07,0.48,23494.05,24.0
27,41110.48,0.25,0.4,13574.27,17.07
26,59551.59,0.14,0.56,15057.87,18.11
30,48695.54,0.08,0.3,31900.92,29.88
52,54674.98,0.21,0.26,29072.3,27.9
51,78786.88,0.27,0.54,15237.1,18.23
41,79713.47,0.27,0.12,53559.17,45.02
42,103279.41,0.29,0.17,61343.1,50.46
55,97523.89,0.27,0.14,54457.65,45.65
53,78269.94,0.05,0.52,32352.85,30.2
58,38590.0,0.15,0.11,21662.34,22.72
40,107836.39,0.25,0.53,28576.96,27.56
45,80718.2,0.14,0.33,47392.49,40.71
53,50550.48,0.2,0.1,34087.69,31.41
19,50630.55,0.2,0.3,13483.34,17.0
53,47885.77,0.14,0.19,30669.75,29.02
55,70143.24,0.28,0.41,18673.03,20.63
32,41507.9,0.18,0.44,19019.76,20.88
21,30651.48,0.17,0.34,6372.72,12.03
19,50211.77,0.3,0.12,17271.43,19.65
23,66248.4,0.17,0.43,20454.35,21.88
44,68184.26,0.09,0.52,31269.34,29.44
32,52251.67,0.18,0.46,21959.58,22.93
57,37208.19,0.25,0.51,2723.36,9.48
45,59724.32,0.24,0.2,37887.53,34.07
27,59881.11,0.25,0.54,11398.93,15.55
33,52796.61,0.23,0.26,30417.4,28.84
33,56961.86,0.11,0.11,47925.85,41.08
44,60012.83,0.27,0.52,17715.79,19.96
31,50755.45,0.27,0.57,10388.31,14.84
50,63021.06,0.1,0.43,31691.68,29.73
57,53382.24,0.08,0.22,31585.43,29.66
50,94407.11,0.29,0.23,46967.09,40.41
22,22097.35,0.27,0.33,1506.94,8.63
